,hostname,glon,glat,sy_dist,st_spectype,sy_vmag,pl_orbsmax,pl_orbincl,st_teff,pl_eqt,pl_angsep,contrast,X,Y,Z
109,CoRoT-26,37.74453,5.926,1045.18,G,15.861,2.550119965691093e-07,86.8,5590.0,1600.0,0.0503,0.006711702518215467,822.0573935272319,636.3793182766697,107.90846777215856
110,CoRoT-27,35.89455,6.39649,1010.28,G,15.774,2.3077131248459323e-07,86.7,5900.0,1500.0,0.0471,0.004177889888730722,813.3303093456016,588.6350607694417,112.55332750631557
111,CoRoT-28,36.01305,6.24131,766.183,G,13.783,2.923426500592641e-07,88.1,5150.0,0.0,0.0787,0.0,616.0791042987163,447.8220976195086,83.29643221143859
112,CoRoT-29,36.92336,6.45872,806.507,K,15.408,1.8713808113246425e-07,87.3,5260.0,0.0,0.0479,0.0,640.6616402890008,481.43094337018607,90.7218302113638
113,CoRoT-3,37.26302,-8.12065,768.771,F,13.448,2.8036775212151314e-07,85.9,6740.0,1695.0,0.0752,0.003999808730553298,605.7024865392254,460.8041408370177,-108.59508289355176
114,CoRoT-30,36.66096,7.77355,1032.23,G,15.571,4.091827473466317e-07,90.0,5650.0,0.0,0.0818,0.0,820.427673117367,610.6587776651227,139.61756101494234
115,CoRoT-31,213.22491,-9.16321,2005.76,G,15.479,2.841008174705286e-07,83.2,5700.0,0.0,0.0292,0.0,-1656.4589662999222,-1084.9852170056938,-319.4118805612905
116,CoRoT-35,33.40059,-7.00809,1123.21,F,15.635,2.0798506944514809e-07,84.1,6390.0,1747.0,0.0382,0.005586865128961881,930.6974598577192,613.6956550067473,-137.04227574084146
117,CoRoT-36,37.04172,7.79576,925.958,F,13.126,3.1997702991561245e-07,85.83,6730.0,1567.0,0.0713,0.002939109245878108,732.2661550654514,552.6385612075825,125.59903095196793
118,CoRoT-4,213.22759,-0.89847,726.412,G,13.652,4.3633231352128966e-07,90.0,6190.0,1074.0,0.124,0.0009062635842057406,-607.5693249141152,-398.00020560706133,-11.390588401980464
119,CoRoT-5,211.48472,-1.0362,882.472,F,14.043,2.3983732833220225e-07,85.83,6100.0,1438.0,0.0561,0.0030882766950277706,-752.4309449382438,-460.8143041951822,-15.958725903143096
120,CoRoT-6,38.06304,4.6158,645.294,F,13.961,4.1451569784522526e-07,89.07,6090.0,1017.0,0.132,0.0007777045523905872,506.4134087980256,396.5515831305055,51.92925709321822
121,CoRoT-7,213.01042,-2.17853,159.906,G,11.728,8.249589607642517e-08,80.1,5275.0,1756.0,0.106,0.012280277772643955,-133.9956969709687,-87.05247316404459,-6.078564410091142
122,CoRoT-7,213.01042,-2.17853,159.906,G,11.728,2.2301429357754806e-07,80.0,5256.0,0.0,0.288,0.0,-133.9956969709687,-87.05247316404459,-6.078564410091142
123,CoRoT-7,213.01042,-2.17853,159.906,G,11.728,0.0,0.0,5250.0,0.0,0.0,0.0,-133.9956969709687,-87.05247316404459,-6.078564410091142
124,CoRoT-8,38.21286,-7.10426,322.037,K,14.792,3.054326194649028e-07,88.4,5080.0,870.0,0.196,0.000860245008492218,251.08771275791526,197.67781763089806,-39.82800883403608
125,CoRoT-9,37.52335,4.66217,412.98,G,13.637,1.9494358140767844e-06,89.9,5625.0,420.0,0.974,3.108186390123457e-05,326.45284850117486,250.70752101113095,33.56720146098434
126,CoRoTID 223977153,203.48237,1.86373,576.683,G,13.626,3.442177140001285e-07,89.0,5970.0,938.0,0.123,0.0006094162479729589,-528.6438878206625,-229.66751204668162,18.755166465329836
