pl_orbsmax,pl_orbincl,pl_eqt,pl_angsep,contrast
2.2786243039445128e-07,86.14,1616.0,0.146,0.007844515173658497
6.302577861974185e-07,87.94,990.0,0.405,0.0011049470328901223
1.0665900997187082e-06,89.47,752.0,0.685,0.00036785108724608003
0.003878509453522575,0.0,2375.0,5990.0,0.4904614653673925
0.0016968478859161265,0.0,1670.0,16100.0,0.05083658999127616
1.1048903805722436e-07,0.0,587.0,1.42,0.0009702048145848671
2.54527182887419e-07,0.0,387.0,3.28,0.0001832967989182232
1.8665326745077393e-07,88.57,456.0,1.38,0.0003441260688957499
2.215598525324771e-07,0.0,231.0,9.43,3.405028664289933e-05
3.5779249708745756e-07,0.0,182.0,15.2,1.3120742266074692e-05
1.018108731549676e-07,0.0,0.0,5.72,0.0
1.6968478859161268e-07,0.0,0.0,9.53,0.0
2.617993881127738e-07,0.0,0.0,14.7,0.0
7.611574802538053e-08,88.16,584.0,1.24,0.0010699887423625209
2.3077131248459323e-07,0.0,300.0,3.77,7.084252110651965e-05
8.047907116059343e-07,0.0,0.0,15.1,0.0
4.421500777015736e-06,0.0,0.0,82.8,0.0
2.7702253771784993e-06,0.0,0.0,71.1,0.0
7.296445909439343e-08,88.98,567.0,1.03,0.001117699793317082
4.4360451874664455e-08,85.0,1089.0,0.449,0.009835842442185345
1.260515572394837e-07,0.0,0.0,2.54,0.0
9.284182004369664e-07,89.33,422.0,11.7,6.841918263750767e-05
3.4906585081703175e-07,0.0,550.0,20.2,0.0005405877357706377
2.6179938811277383e-05,0.0,0.0,1520.0,0.0
2.569512512958706e-07,0.0,0.0,2.05,0.0
2.942819047860254e-07,0.0,0.0,4.01,0.0
6.079563568396637e-07,0.0,0.0,8.29,0.0
4.995520176137076e-06,0.0,0.0,68.1,0.0
1.1684009728736758e-05,61.0,0.0,195.0,0.0
4.460285871550961e-07,0.0,0.0,7.7,0.0
6.254096493805152e-07,0.0,0.0,10.8,0.0
1.4980742764230946e-06,0.0,0.0,25.9,0.0
1.6483665177470945e-07,0.0,0.0,0.917,0.0
8.125962118811485e-05,16.999,0.0,452.0,0.0
1.3720227191836108e-06,0.0,0.0,9.95,0.0
1.861684537690836e-06,0.0,0.0,66.7,0.0
5.265076583156896e-06,0.0,0.0,189.0,0.0
1.0292594462285533e-07,89.99,758.0,1.4,0.0022380289126477933
3.9657759162268327e-07,0.0,351.0,14.7,0.00010701597896519807
4.896618185072252e-07,0.0,0.0,4.28,0.0
4.4167011215670014e-07,0.0,0.0,15.4,0.0
1.7679700530200969e-07,0.0,0.0,6.16,0.0
2.375587040282577e-06,0.0,350.0,27.9,1.5930636145564145e-05
3.830028085353543e-07,0.0,0.0,4.75,0.0
1.5344353025498685e-07,87.14,693.0,1.41,0.0014424007158627189
9.55082952929934e-08,0.0,0.0,0.692,0.0
2.763437985634835e-07,0.0,0.0,2.0,0.0
3.3839994981984465e-06,0.0,0.0,24.5,0.0
5.580205476255605e-06,45.0,0.0,75.7,0.0
2.5355755552403835e-05,0.0,0.0,344.0,0.0
4.411804503381929e-07,0.0,0.0,4.99,0.0
1.992584231747223e-05,0.0,0.0,200.0,0.0
3.185225888705415e-06,0.0,0.0,32.0,0.0
6.951743381757525e-07,0.0,0.0,7.1,0.0
1.7538134935147396e-06,0.0,0.0,17.9,0.0
9.402476542702103e-07,0.0,0.0,9.61,0.0
3.979350699314162e-07,0.0,0.0,4.07,0.0
1.5911585033076366e-07,0.0,0.0,6.11,0.0
6.128044936565669e-07,0.0,0.0,23.5,0.0
4.3148417670438646e-07,0.0,0.0,3.77,0.0
6.88435428000257e-07,0.0,391.0,22.4,9.00321366497442e-05
1.7210885700006425e-07,89.13,594.0,1.21,0.000741200625
7.703689402059215e-08,87.95,773.0,0.581,0.0028450842158303244
4.2469678516072193e-07,0.0,329.0,3.2,9.335997835935567e-05
1.6338221072963848e-06,0.0,0.0,35.5,0.0
6.2637927674389585e-06,0.0,0.0,136.0,0.0
1.7453292540851588e-07,89.228,518.0,3.81,0.0004770533498232718
2.9573634583109634e-07,0.0,401.0,6.46,0.00017132683864302245
9.890199106482565e-07,0.0,220.0,21.6,1.5521676727712546e-05
1.3914152664512239e-07,59.0,0.0,1.41,0.0
3.437329003184382e-08,79.89,1365.0,0.753,0.02256177162974341
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
1.260515572394837e-07,0.0,0.0,1.89,0.0
1.221730477859611e-07,88.442,568.0,1.59,0.0007937284100852854
3.9269908216916076e-07,0.0,317.0,5.12,7.700441597769891e-05
2.6189635084911186e-07,0.0,485.0,7.68,0.00033722530866028193
2.947667184677157e-07,0.0,590.0,3.59,0.0005418902765382264
1.9634954108458038e-07,0.0,348.0,4.09,0.00012780061818466623
1.4059596769019335e-07,0.0,0.0,1.6,0.0
4.3148417670438646e-07,0.0,0.0,4.9,0.0
3.819846998038046e-07,0.0,350.0,13.9,7.844539676898183e-05
1.126706996248308e-06,0.0,309.0,19.5,3.1640625e-05
6.787391543664506e-06,0.0,125.0,118.0,8.473272780568017e-07
5.381431866762573e-07,0.0,0.0,8.77,0.0
3.9754721898606396e-07,0.0,0.0,3.84,0.0
3.0058448264799954e-07,0.0,0.0,6.84,0.0
2.3363171320656612e-05,0.0,0.0,532.0,0.0
8.629683534087729e-07,0.0,0.0,19.6,0.0
1.4108078137188367e-07,86.44,686.0,2.98,0.0013390661603010843
1.711392296366836e-05,152.0,0.0,192.0,0.0
3.296733035494189e-07,0.0,0.0,4.78,0.0
8.309706504172117e-08,89.39,696.0,2.12,0.0019384520932837247
2.0459137367331583e-06,0.0,202.0,55.4,8.619892765035904e-06
3.2293439337392343e-07,0.0,0.0,6.4,0.0
1.968828361344397e-07,0.0,0.0,6.45,0.0
3.4955066449872207e-07,0.0,0.0,11.4,0.0
1.3647505139582563e-07,0.0,0.0,4.47,0.0
3.7990484910935314e-07,0.0,0.0,12.1,0.0
5.39112814039638e-06,0.0,0.0,107.0,0.0
2.444963878132462e-07,0.0,0.0,6.96,0.0
6.060171021129024e-07,0.0,0.0,17.3,0.0
1.0326531420003855e-06,0.0,0.0,29.4,0.0
7.563093434369021e-07,0.0,0.0,21.5,0.0
2.661627112479867e-06,0.0,0.0,75.8,0.0
1.8907733585922553e-07,0.0,0.0,8.57,0.0
8.411517377327085e-06,48.919,0.0,108.0,0.0
4.715297868120071e-05,33.69,0.0,607.0,0.0
1.8907733585922553e-07,0.0,0.0,2.43,0.0
8.775127638594825e-07,0.0,0.0,11.3,0.0
4.915041104976483e-05,21.984,0.0,1050.0,0.0
3.878509453522575e-07,0.0,0.0,16.0,0.0
8.532720797749664e-07,0.0,0.0,35.2,0.0
6.515895881917926e-07,0.0,0.0,9.39,0.0
7.902463011552247e-07,0.0,0.0,35.8,0.0
5.64807939169225e-06,0.0,0.0,256.0,0.0
5.76928281211483e-07,0.0,401.0,7.65,0.00011929171813537416
2.271352098719158e-07,0.0,611.0,2.76,0.0006690948185841878
1.4059596769019335e-07,0.0,829.0,2.61,0.0020145531533489977
6.816480364565926e-08,87.7,940.0,1.17,0.004648377724432252
2.5355755552403835e-07,0.0,490.0,4.34,0.00034322136726489867
1.793810622254191e-05,51.0,0.0,745.0,0.0
1.1247677415215467e-05,0.0,0.0,264.0,0.0
2.3998277243670932e-05,0.0,0.0,562.0,0.0
5.332950498593541e-07,0.0,0.0,10.2,0.0
1.009949317286828e-06,59.0,0.0,44.6,0.0
6.282700501024882e-07,59.0,0.0,27.7,0.0
1.0087518274930527e-07,59.0,0.0,4.45,0.0
1.620732137890746e-06,59.0,0.0,71.5,0.0
3.296733035494189e-07,0.0,468.0,20.7,0.00025931029710709984
5.817764180283863e-07,0.0,352.0,36.5,8.298641516174776e-05
3.101110714932144e-06,69.2,0.0,102.0,0.0
0.058177641802838624,0.0,0.0,577000.0,0.0
4.266360398874833e-06,0.0,0.0,197.0,0.0
4.571793018339735e-07,0.0,0.0,3.95,0.0
1.4108078137188366e-06,0.0,0.0,24.4,0.0
5.522027834452767e-07,0.0,453.0,3.72,0.00019448155309921555
5.972419744743075e-05,155.326,0.0,601.0,0.0
9.162978583947083e-08,87.6,1035.0,0.637,0.0035639991634803417
1.9150140426767715e-07,89.09,716.0,1.33,0.0008162595651437448
2.7295010279165125e-07,87.66,600.0,1.9,0.0004025141904218747
1.6386702441132878e-07,79.9,2300.0,0.0516,0.011655185339441898
0.0004848136816903219,0.0,2650.0,662.0,0.1364701090779034
0.00155140378140903,0.0,2300.0,2950.0,0.08993198564384182
0.009696273633806438,0.0,1050.0,42100.0,0.004599990825738488
1.9620409698007327e-07,85.73,0.0,0.111,0.0
2.2640798934938032e-07,85.21,1213.0,0.223,0.002022362893936884
1.9118627537457842e-07,0.0,830.0,2.64,0.002096202579650086
4.3875638192974126e-07,0.0,0.0,9.19,0.0
4.411804503381929e-07,0.0,379.0,11.2,0.00011548673189530194
3.23855539369135e-07,89.194,315.0,5.47,8.342445978415596e-05
2.6960488838798797e-07,85.634,1322.0,0.35,0.002388477115896081
2.5472110836009514e-07,89.36,838.0,1.39,0.000944635990407137
2.0022805053810293e-05,135.7,0.0,109.0,0.0
1.8616845376908358e-07,89.0,963.0,0.269,0.0018394726584019204
6.098956115664249e-06,0.0,340.0,5.1,1.3085783366418309e-05
2.8894895428743186e-07,83.5,1624.0,0.268,0.0036657965440868323
4.678452028311606e-07,89.1,904.0,0.501,0.0006948272068920069
2.0022805053810294e-07,86.6,1626.0,0.182,0.004860975439432068
4.276056672508639e-07,89.2,792.0,0.955,0.0005195024276164025
2.7149566174658023e-05,0.0,0.0,60.6,0.0
2.710108480648899e-07,88.8,852.0,0.346,0.0009901660522630472
2.2296581220937905e-07,89.52,981.0,0.228,0.0015277383821833117
3.3035204270378537e-07,86.16,1540.0,0.533,0.0033946903705882104
0.0,90.0,0.0,0.0,0.0
1.750177390902062e-07,86.8,970.0,0.508,0.0019858428345558886
2.39497958755019e-07,87.2,1283.0,0.178,0.0027789519381022348
2.0071286421979326e-07,86.9,1463.0,0.506,0.005797201700322063
1.1247677415215467e-07,85.1,2056.0,0.0636,0.014696463267012499
2.2548684335416872e-07,88.6,1637.0,0.112,0.004353304479663282
2.2592317566769e-07,88.22,1182.0,0.155,0.002103915678025551
2.3222575352966416e-07,88.6,1001.0,0.338,0.0015087714539867598
1.9392547267612875e-07,85.0,1092.0,0.201,0.0017805356123739822
2.104091378535997e-07,88.0,1384.0,0.108,0.0035249342261143607
3.233707256874447e-07,87.1,1271.0,0.213,0.0019009425645440628
1.8742896934147844e-07,87.24,1189.0,0.287,0.002765237103707452
2.9573634583109634e-07,87.1,1450.0,0.177,0.0032669973945982107
1.6469120767020234e-07,88.98,1836.0,0.117,0.008761857796996772
2.421644340043158e-07,87.2,1782.0,0.126,0.005840763132074916
3.2841278797702404e-07,87.1,1520.0,0.272,0.003099498780715867
2.413402507454422e-07,87.3,1581.0,0.0982,0.00452426095229921
1.1684009728736757e-07,87.13,1781.0,0.0819,0.010085801478563229
1.83744385360632e-07,86.9,1271.0,0.097,0.002851881291694283
2.5355755552403835e-07,88.3,1082.0,0.205,0.0016982444618103077
2.467701639803738e-07,87.0,1752.0,0.073,0.0055117881356318305
2.1516031193416486e-07,89.91,1686.0,0.138,0.006852354411620561
2.947667184677157e-07,88.3,1770.0,0.131,0.007182551495416265
2.0643366566373905e-07,87.7,1941.0,0.122,0.008513315116824998
2.787678669719351e-07,85.9,1428.0,0.142,0.0038225886383120365
2.152572746705029e-07,88.7,1353.0,0.084,0.0031902627362340318
2.4580053661699323e-07,89.1,1108.0,0.146,0.0019173225662300261
