sy_dist,st_spectype,sy_vmag,st_teff
320.639,F,10.92,6566.0
279.86,A,10.639,6330.0
515.59,G,12.925,6078.0
265.471,G,11.64,5678.0
275.358,G,10.469,6570.0
233.22,G,9.727,6212.0
338.84,G,13.096,5587.0
348.815,G,12.539,5629.0
403.458,G,13.657,5400.0
651.897,G,12.855,6457.0
738.519,G,13.121,5872.0
935.456,G,13.014,6002.0
371.686,G,10.106,6406.0
202.152,K,13.802,4508.0
341.263,G,9.774,7394.0
341.079,G,10.481,6389.0
330.739,G,9.47,8450.0
211.553,F,10.358,6200.0
455.203,F,12.344,6350.0
283.971,G,12.155,5870.0
534.889,G,13.202,5880.0
944.603,G,14.06,6563.0
746.138,F,12.831,6357.0
421.855,G,13.911,5523.0
513.011,G,14.052,5346.0
1139.55,G,14.909,5311.0
757.044,G,13.957,5738.0
400.331,G,12.402,5846.0
624.368,G,14.188,5600.0
341.925,K,13.565,5227.0
229.518,K,13.397,4803.0
639.004,G,13.84,5780.0
494.182,F,12.915,6125.0
471.158,G,13.172,5715.0
861.843,F,13.006,6071.0
816.988,F,12.782,6438.0
535.383,G,13.981,5498.0
353.891,G,12.62,5670.0
411.211,F,12.433,6351.0
342.14,G,12.283,5943.0
773.974,G,13.315,6050.0
745.116,G,14.386,5700.0
248.46,G,11.91,5659.0
508.842,G,13.857,5380.0
514.555,G,12.609,6300.0
856.436,G,14.364,5950.0
211.896,G,12.341,5326.0
343.525,G,11.967,5732.0
878.521,G,12.745,6572.0
416.459,G,13.516,5403.0
1342.29,G,13.478,6460.0
737.668,G,12.678,6424.0
800.377,G,13.682,6060.0
362.273,G,13.562,5099.0
446.035,G,14.397,5080.0
772.11,G,13.325,6450.0
453.808,G,13.783,5495.0
300.67,G,14.602,4512.0
263.609,G,14.226,4546.0
324.413,G,14.988,4405.0
246.384,G,12.598,5304.0
756.742,G,14.045,5990.0
389.57,G,12.525,5758.0
555.134,G,13.844,6010.0
585.77,G,13.944,5644.0
748.585,G,13.937,5621.0
609.838,G,13.525,6214.0
564.409,G,11.477,6536.0
279.485,G,12.333,5587.0
403.591,G,11.572,7175.0
642.884,G,14.033,5670.0
642.884,G,14.033,5670.0
169.318,M,15.044,3724.0
486.474,G,12.662,5688.0
679.761,G,13.352,5542.0
523.067,G,14.171,5416.0
623.232,G,13.992,5627.0
1080.15,G,13.045,6554.0
493.32,G,12.679,6277.0
1477.98,G,14.283,6626.0
960.109,G,13.698,6594.0
603.955,G,12.312,6147.0
414.537,G,14.074,5137.0
240.707,K,13.347,4985.0
1458.83,G,12.227,7930.0
140.225,M,16.437,3405.0
127.589,G,12.324,4656.1
299.389,G,17.26,3776.9
194.964,G,15.689,3790.4
385.689,G,16.68,4016.0
436.176,G,16.195,4071.0
794.637,G,14.512,5679.0
638.7,G,13.256,5599.0
109.677,B,6.69,10500.0
137.178,G,6.4421,4891.0
49.5336,G,8.42,5533.0
38.9607,G,7.33,5911.0
38.9607,G,7.33,5911.0
38.9607,G,7.33,5911.0
38.9607,G,7.33,5911.0
38.9607,G,7.33,5911.0
38.9607,G,7.33,5911.0
30.0274,K,8.21,5108.0
39.5792,G,7.47,5655.0
29.3386,K,8.07,5301.0
347.097,K,8.69,4790.0
217.107,K,7.88,4745.0
217.107,K,7.88,4830.0
9.2894,G,4.89,5630.0
62.758,K,9.26,5436.0
121.89,G,7.86,4985.0
57.1463,K,9.4,5250.0
45.5352,K,9.5,5017.0
56.4089,F,7.13463,6489.0
55.5213,F,6.59451,6072.0
26.4997,K,8.7,4792.0
20.3632,K,7.92,4952.0
20.3632,K,7.92,4952.0
135.374,K,7.828,4912.0
100.576,G,5.79389,4738.0
70.0837,G,8.63,5671.0
70.0837,G,8.63,5671.0
55.2411,G,8.65,5792.0
38.185,G,7.41,5874.0
93.808,G,7.58,5509.0
109.353,F,8.951,6327.0
109.353,F,8.951,6327.0
