sy_vmag,glon,glat,st_spectype,sy_dist
13.448,37.26302,-8.12065,,768.771
13.448,37.26302,-8.12065,,768.771
13.448,37.26302,-8.12065,,768.771
13.448,37.26302,-8.12065,,768.771
13.448,37.26302,-8.12065,F3 V,768.771
15.571,36.66096,7.77355,G3 V,1032.23
15.479,213.22491,-9.16321,G2 IV,2005.76
15.635,33.40059,-7.00809,F6 V,1123.21
13.126,37.04172,7.79576,F3 V,925.958
13.652,213.22759,-0.89847,,726.412
13.652,213.22759,-0.89847,,726.412
13.652,213.22759,-0.89847,,726.412
13.652,213.22759,-0.89847,,726.412
14.043,211.48472,-1.0362,,882.472
14.043,211.48472,-1.0362,,882.472
14.043,211.48472,-1.0362,,882.472
14.043,211.48472,-1.0362,,882.472
14.043,211.48472,-1.0362,,882.472
14.043,211.48472,-1.0362,F9 V,882.472
13.961,38.06304,4.6158,,645.294
13.961,38.06304,4.6158,F9 V,645.294
13.961,38.06304,4.6158,,645.294
13.961,38.06304,4.6158,,645.294
11.728,213.01042,-2.17853,G9 V,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,G9 V,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,,159.906
11.728,213.01042,-2.17853,G9 V,159.906
11.728,213.01042,-2.17853,G9 V,159.906
14.792,38.21286,-7.10426,,322.037
14.792,38.21286,-7.10426,K1 V,322.037
14.792,38.21286,-7.10426,,322.037
14.792,38.21286,-7.10426,,322.037
13.637,37.52335,4.66217,,412.98
13.637,37.52335,4.66217,,412.98
13.637,37.52335,4.66217,,412.98
13.637,37.52335,4.66217,,412.98
13.637,37.52335,4.66217,G3 V,412.98
13.626,203.48237,1.86373,G0 VI,576.683
13.626,203.48237,1.86373,G0 VI,576.683
12.956,104.28761,70.27803,,30.5225
,265.61638,-6.82669,L1.5,
13.98,171.89958,-14.93888,M0.5,134.846
13.98,171.89958,-14.93888,,134.846
7.98,215.35863,-19.05301,F8 V,62.5388
7.98,215.35863,-19.05301,F8 V,62.5388
7.98,215.35863,-19.05301,F8 V,62.5388
7.98,215.35863,-19.05301,F8 V,62.5388
8.57,246.92255,-75.5342,F5 V,137.94
,283.20965,-29.14463,K0 V,45.23
,283.20965,-29.14463,,45.23
5.72936,83.46183,14.58774,F5-F8 V,25.3284
18.6837,230.89636,66.45634,,305.684
18.6837,230.89636,66.45634,,305.684
8.17,312.10146,-46.63356,,44.0622
8.17,312.10146,-46.63356,G6 V,44.0622
8.17,312.10146,-46.63356,G6 V,44.0622
17.6984,264.99528,51.24569,,
16.014,278.31843,56.94662,,159.259
16.014,278.31843,56.94662,,159.259
14.321,285.58634,61.20318,,706.391
13.948,258.19387,54.82399,,253.026
11.746,282.19917,63.35883,,232.1
11.746,282.19917,63.35883,,232.1
11.746,282.19917,63.35883,,232.1
12.081,285.15815,64.0901,,476.882
14.668,262.91176,61.77713,,334.967
14.974,260.8805,61.14782,,
14.705,252.27127,59.32248,,257.443
14.705,252.27127,59.32248,,257.443
14.983,261.10589,63.11979,,436.488
14.983,261.10589,63.11979,,436.488
14.983,261.10589,63.11979,,436.488
12.365,40.91076,-51.71337,,243.935
12.365,40.91076,-51.71337,,243.935
12.365,40.91076,-51.71337,,243.935
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
13.096,42.94366,-49.1871,,369.888
17.89,50.70238,-57.69594,,161.365
16.59,48.06541,-54.37586,,451.769
16.59,48.06541,-54.37586,,451.769
16.59,48.06541,-54.37586,,451.769
16.59,48.06541,-54.37586,,451.769
16.59,48.06541,-54.37586,,451.769
17.83,51.97463,-50.28505,,109.888
17.83,51.97463,-50.28505,,109.888
17.83,51.97463,-50.28505,,109.888
14.005,56.17023,-51.54478,,314.35
14.005,56.17023,-51.54478,,314.35
14.005,56.17023,-51.54478,,314.35
14.005,56.17023,-51.54478,,314.35
14.005,56.17023,-51.54478,,314.35
15.133,208.28299,32.03739,,186.197
15.133,208.28299,32.03739,,186.197
15.133,208.28299,32.03739,,186.197
15.133,208.28299,32.03739,,186.197
15.133,208.28299,32.03739,,186.197
15.133,208.28299,32.03739,,186.197
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,G0,181.69
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,G0,181.69
10.154,208.78206,38.12775,,181.69
10.154,208.78206,38.12775,,181.69
